"OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate"
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0748:010816","Field Msr/Obs","Water",NA,"2001-08-16","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0748","VISIT_NO=""1"";SAMPLED=""Yes"";SAMP_LOC=""K"";DAY_SHIP=""1"";COM_FLD=""K = X SITE""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","",85.8,"uS/cm",NA,"Final",NA,"Calculated",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWFD:WORP99-0748:010816","Field Msr/Obs","Water",NA,"2001-08-16","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0748","VISIT_NO=""1"";SAMPLED=""Yes"";STAT_ID=""X"";TIME=""9:15"";NAME_1=""TOM FRIESEN"";BIOMOR1=""Y"";NAME_2=""JULIE BERRY"";BIOMOR2=""Y"";NAME_3=""SARRA MOLLER"";GEOMOR3=""Y"";NAME_4=""SHANNON HUBLER"";GEOMOR4=""Y"";FORMS4=""Y""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","Not Reported","Conductivity","Total",NA,"",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0813:020627","Field Msr/Obs","Water",NA,"2002-06-27","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0813","VISIT_NO=""1"";SAMPLED=""Yes"";TEAM_ID=""1"";SAMP_LOC=""A"";DAY_SHIP=""2"";COM_FLD=""WALKED IN STREAM TO GET TO SITE.  UNAVIODABLE.  SORRY.  DO WAS 9.6 MG/L""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","",74.545237309,"uS/cm",NA,"Final",NA,"Calculated",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0813:020627","Field Msr/Obs","Water",NA,"2002-06-27","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0813","VISIT_NO=""1"";SAMPLED=""Yes"";TEAM_ID=""1"";SAMP_LOC=""A"";DAY_SHIP=""2"";COM_FLD=""WALKED IN STREAM TO GET TO SITE.  UNAVIODABLE.  SORRY.  DO WAS 9.6 MG/L""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","Total",70,"uS/cm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWFD:WORP99-0813:020627","Field Msr/Obs","Water",NA,"2002-06-27","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0813","VISIT_NO=""1"";SAMPLED=""Yes"";STAT_ID=""A"";TIME=""14:30"";TEAM_ID=""1"";NAME_1=""DAVID HUFF"";FORMS1=""Y"";NAME_2=""SHANNON HUBLER"";BIOMOR2=""Y"";NAME_3=""VIRGINIA ROBINSON"";BIOMOR3=""Y"";NAME_4=""TYLER TAPPENBECK"";GEOMOR4=""Y""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","Not Reported","Conductivity","Total",NA,"",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0505:000628","Field Msr/Obs","Water",NA,"2000-06-28","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0505","VISIT_NO=""1"";SAMPLED=""Yes"";SAMP_LOC=""I"";DAY_SHIP=""1""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","",63.56,"uS/cm",NA,"Final",NA,"Calculated",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0505:000628","Field Msr/Obs","Water",NA,"2000-06-28","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0505","VISIT_NO=""1"";SAMPLED=""Yes"";SAMP_LOC=""I"";DAY_SHIP=""1""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","Total",61,"uS/cm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"CONDF=""X1""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWFD:WORP99-0505:000628","Field Msr/Obs","Water",NA,"2000-06-28","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0505","VISIT_NO=""1"";SAMPLED=""Yes"";STAT_ID=""X"";TIME=""."";NAME_1=""THOMAS LOSSEN"";NAME_2=""SHANNON HUBLER"";NAME_3=""CHRIS WALKER""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","Total",65,"uS/cm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0508:000801","Field Msr/Obs","Water",NA,"2000-08-01","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0508","VISIT_NO=""1"";SAMPLED=""Yes"";TEAM_ID=""1"";SAMP_LOC=""A"";DAY_SHIP=""2""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","",45.52,"uS/cm",NA,"Final",NA,"Calculated",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"NARS_WQX","EPA National Aquatic Resources Survey","NARS_WQX-QWCH:WORP99-0508:000801","Field Msr/Obs","Water",NA,"2000-08-01","00:00:00",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NARS_WSA2006;NARS_WSA2006_ECOREGION_WMT",NA,"NARS_WQX-WORP99-0508","VISIT_NO=""1"";SAMPLED=""Yes"";TEAM_ID=""1"";SAMP_LOC=""A"";DAY_SHIP=""2""",NA,NA,NA,"USEPA","USEPA","USEPA","Unknown","","Conductivity","Total",45,"uS/cm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
