"Pollutant","lasar.name"
"Sulfide Hydrogen Sulfide","Hydrogen Sulfide"
"Tetrachlorobenzene, 1,2,4,5-","1,2,4,5-Tetrachlorobenzene"
"Tetrachloroethane 1,1,2,2","1,1,2,2-Tetrachloroethane"
"Tetrachloroethylene","Tetrachloroethylene"
"Thallium, Total recoverable","Thallium"
"Toluene","Toluene"
"Total DDT","Total DDT"
"Toxaphene","Toxaphene (technical)"
"Tributyltin","Tributyltin"
"Trichlorobenzene 1,2,4","1,2,4-Trichlorobenzene"
"Trichloroethane 1,1,2","1,1,2-Trichloroethane"
"Trichloroethylene","Trichloroethylene"
"Trichlorophenol 2,4,6","2,4,6-Trichlorophenol"
"Trichlorophenol, 2, 4, 5-","2,4,5-Trichlorophenol"
"Vinyl Chloride","Vinyl Chloride"
"Zinc, Dissolved","Zinc"
"Zinc, Total recoverable","Zinc"
"Alkalinity","Carbonate Alkalinity as Calcium Carbonate"
"Arsenic, Total inorganic","Arsenic, ion (As3+)"
"Arsenic, Total inorganic","Arsenic, ion (As5+)"
"Azinphos methyl","Azinophos Methyl"
"Azinphos methyl","Guthion"
"Azinphos methyl","Guthion (Azinphosmethyl)"
"Chloroethyl Ether bis 2","Bis(2-Chloroethyl) ether"
"Chlorophenoxy Herbicide (2,4,5,-TP)","2,4,5-TP (Silvex)"
"Chromium, Dissolved","Chromium, trivalent"
"Dichlorobenzidine 3,3'","1,1`-Biphenyl-4,4`-diamine, 3,3`-dichloro-"
"Dichloroethane 1,2","Ethylene dichloride"
"Dichloroethylene 1,1","1,1-Dichloroethene"
"Dichloroethylene trans 1,2","trans-1,2-Dichloroethene"
"Dichloropropene 1,3","Propene, 1,3-dichloro-"
"Methyl-4,6-dinitrophenol 2","4,6-Dinitro-2-methylphenol"
"Nitrates","Nitrate"
"Nitrates","Nitrate as N"
"Nitrosodibutylamine, N","1-Butanamine, N-butyl-N-nitroso-"
"Nitrosodimethylamine, N","Methanamine, N-methyl-N-nitroso"
"Nitrosopyrrolidine, N","Pyrrole, tetrahydro-N-nitroso-"
"Phosphorus Elemental","Total Phosphorus"
